benchmark_name,run_id,stage,source,elapsed_seconds
billionaires-statistics-2023,1774817839-71a141a2,cell_exec_info,compute,4.203447
billionaires-statistics-2023,1774817839-71a141a2,cudf_profile_info,compute,58.851485
