benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
adidas-retail-eda-data-visualization,1774832629-67338031,17,0,cudf_profiling,11.970861
adidas-retail-eda-data-visualization,1774832629-67338031,17,0,total,48.562155
adidas-retail-eda-data-visualization,1774832629-67338031,17,1,agent_call,23.402444
adidas-retail-eda-data-visualization,1774832629-67338031,17,1,rewrite_execution,13.890739
adidas-retail-eda-data-visualization,1774832629-67338031,17,1,cudf_profiling,12.903783
adidas-retail-eda-data-visualization,1774832629-67338031,17,1,total,64.043800
adidas-retail-eda-data-visualization,1774832629-67338031,17,2,agent_call,22.485190
adidas-retail-eda-data-visualization,1774832629-67338031,17,2,rewrite_execution,13.737612
adidas-retail-eda-data-visualization,1774832629-67338031,17,2,cudf_profiling,11.943844
adidas-retail-eda-data-visualization,1774832629-67338031,17,2,total,62.229698
adidas-retail-eda-data-visualization,1774832629-67338031,17,3,agent_call,25.583153
adidas-retail-eda-data-visualization,1774832629-67338031,17,3,rewrite_execution,13.678471
adidas-retail-eda-data-visualization,1774832629-67338031,17,3,cudf_profiling,12.959211
adidas-retail-eda-data-visualization,1774832629-67338031,17,3,total,67.283238
adidas-retail-eda-data-visualization,1774832629-67338031,17,4,agent_call,0.825777
adidas-retail-eda-data-visualization,1774832629-67338031,18,,original_execution,13.748493
adidas-retail-eda-data-visualization,1774832629-67338031,18,0,agent_call,3.604802
adidas-retail-eda-data-visualization,1774832629-67338031,19,,original_execution,13.947774
adidas-retail-eda-data-visualization,1774832629-67338031,19,0,agent_call,3.124139
adidas-retail-eda-data-visualization,1774832629-67338031,20,,original_execution,14.043177
adidas-retail-eda-data-visualization,1774832629-67338031,20,0,agent_call,0.901484
adidas-retail-eda-data-visualization,1774832629-67338031,21,,original_execution,13.774111
adidas-retail-eda-data-visualization,1774832629-67338031,21,0,agent_call,4.658567
adidas-retail-eda-data-visualization,1774832629-67338031,22,,original_execution,14.042144
adidas-retail-eda-data-visualization,1774832629-67338031,22,0,agent_call,1.115988
adidas-retail-eda-data-visualization,1774832629-67338031,23,,original_execution,14.042612
adidas-retail-eda-data-visualization,1774832629-67338031,23,0,agent_call,11.381297
adidas-retail-eda-data-visualization,1774832629-67338031,23,0,rewrite_execution,13.714882
adidas-retail-eda-data-visualization,1774832629-67338031,23,0,cudf_profiling,13.031577
adidas-retail-eda-data-visualization,1774832629-67338031,23,0,total,52.022584
adidas-retail-eda-data-visualization,1774832629-67338031,23,1,agent_call,5.647436
adidas-retail-eda-data-visualization,1774832629-67338031,24,,original_execution,14.042732
adidas-retail-eda-data-visualization,1774832629-67338031,24,0,agent_call,4.216370
adidas-retail-eda-data-visualization,1774832629-67338031,25,,original_execution,14.043655
adidas-retail-eda-data-visualization,1774832629-67338031,25,0,agent_call,6.832542
adidas-retail-eda-data-visualization,1774832629-67338031,26,,original_execution,13.820964
adidas-retail-eda-data-visualization,1774832629-67338031,26,0,agent_call,9.741107
adidas-retail-eda-data-visualization,1774832629-67338031,27,,original_execution,13.942871
adidas-retail-eda-data-visualization,1774832629-67338031,27,0,agent_call,9.032011
adidas-retail-eda-data-visualization,1774832629-67338031,28,,original_execution,13.950366
adidas-retail-eda-data-visualization,1774832629-67338031,28,0,agent_call,7.885567
adidas-retail-eda-data-visualization,1774832629-67338031,29,,original_execution,13.870000
adidas-retail-eda-data-visualization,1774832629-67338031,29,0,agent_call,11.444144
adidas-retail-eda-data-visualization,1774832629-67338031,30,,original_execution,13.852522
adidas-retail-eda-data-visualization,1774832629-67338031,30,0,agent_call,30.342511
adidas-retail-eda-data-visualization,1774832629-67338031,30,0,rewrite_execution,13.671919
adidas-retail-eda-data-visualization,1774832629-67338031,30,0,cudf_profiling,11.772008
adidas-retail-eda-data-visualization,1774832629-67338031,30,0,total,69.849574
adidas-retail-eda-data-visualization,1774832629-67338031,30,1,agent_call,37.859533
adidas-retail-eda-data-visualization,1774832629-67338031,30,1,total,52.915991
adidas-retail-eda-data-visualization,1774832629-67338031,30,2,agent_call,29.883707
adidas-retail-eda-data-visualization,1774832629-67338031,30,2,total,42.935291
adidas-retail-eda-data-visualization,1774832629-67338031,30,3,agent_call,26.649048
adidas-retail-eda-data-visualization,1774832629-67338031,30,3,rewrite_execution,13.767492
adidas-retail-eda-data-visualization,1774832629-67338031,30,3,cudf_profiling,13.033417
adidas-retail-eda-data-visualization,1774832629-67338031,30,3,total,67.295887
adidas-retail-eda-data-visualization,1774832629-67338031,30,4,agent_call,1.015936
adidas-retail-eda-data-visualization,1774832629-67338031,31,,original_execution,13.820076
adidas-retail-eda-data-visualization,1774832629-67338031,31,0,agent_call,16.008442
adidas-retail-eda-data-visualization,1774832629-67338031,31,0,total,29.059726
adidas-retail-eda-data-visualization,1774832629-67338031,31,1,agent_call,10.627582
adidas-retail-eda-data-visualization,1774832629-67338031,31,1,total,23.679541
adidas-retail-eda-data-visualization,1774832629-67338031,31,2,agent_call,13.536556
adidas-retail-eda-data-visualization,1774832629-67338031,31,2,total,26.586452
adidas-retail-eda-data-visualization,1774832629-67338031,31,3,agent_call,28.334085
adidas-retail-eda-data-visualization,1774832629-67338031,31,3,total,41.385222
adidas-retail-eda-data-visualization,1774832629-67338031,31,4,agent_call,24.430203
adidas-retail-eda-data-visualization,1774832629-67338031,31,4,rewrite_execution,15.034942
adidas-retail-eda-data-visualization,1774832629-67338031,31,4,cudf_profiling,11.919688
adidas-retail-eda-data-visualization,1774832629-67338031,31,4,total,65.171309
adidas-retail-eda-data-visualization,1774832629-67338031,32,,original_execution,13.879636
