cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,trip_data,VendorID,21.7,145.32830043808,150.0,1279.3662424585807
0,trip_data,tpep_pickup_datetime,1520.0,7227.038460821648,1220.0,1415.3826047152775
0,trip_data,tpep_dropoff_datetime,1740.0,7227.038460821648,1360.0,1415.3826047152775
0,trip_data,passenger_count,19.3,145.32830043808,150.0,1279.3662424585807
0,trip_data,trip_distance,118.0,748.2242793079041,149.0,1712.8184388447182
0,trip_data,RatecodeID,18.7,145.32830043808,149.0,1279.3662424585807
0,trip_data,store_and_fwd_flag,995.0,5569.8027510685015,249.0,578.0792217653304
0,trip_data,PULocationID,20.5,145.32830043808,150.0,1279.3662424585807
0,trip_data,DOLocationID,18.9,145.32830043808,149.0,1279.3662424585807
0,trip_data,payment_type,19.1,145.32830043808,152.0,1279.3662424585807
0,trip_data,fare_amount,114.0,748.2242793079041,154.0,1712.8184388447182
0,trip_data,extra,116.0,748.2242793079041,151.0,1712.8184388447182
0,trip_data,mta_tax,120.0,748.2242793079041,151.0,1712.8184388447182
0,trip_data,tip_amount,114.0,748.2242793079041,153.0,1712.8184388447182
0,trip_data,tolls_amount,113.0,748.2242793079041,148.0,1712.8184388447182
0,trip_data,improvement_surcharge,114.0,748.2242793079041,152.0,1712.8184388447182
0,trip_data,total_amount,114.0,748.2242793079041,152.0,1712.8184388447182
1,trip_data,VendorID,19.6,145.32830043808,152.0,1279.3662424585807
1,trip_data,tpep_pickup_datetime,1310.0,7227.038460821648,1220.0,1415.3826047152775
1,trip_data,tpep_dropoff_datetime,1320.0,7227.038460821648,1240.0,1415.3826047152775
1,trip_data,passenger_count,18.9,145.32830043808,149.0,1279.3662424585807
1,trip_data,trip_distance,114.0,748.2242793079041,146.0,1712.8184388447182
1,trip_data,RatecodeID,18.9,145.32830043808,146.0,1279.3662424585807
1,trip_data,store_and_fwd_flag,1020.0,5569.8027510685015,252.0,578.0792217653304
1,trip_data,PULocationID,19.0,145.32830043808,153.0,1279.3662424585807
1,trip_data,DOLocationID,18.9,145.32830043808,153.0,1279.3662424585807
1,trip_data,payment_type,19.4,145.32830043808,149.0,1279.3662424585807
1,trip_data,fare_amount,115.0,748.2242793079041,207.0,1712.8184388447182
1,trip_data,extra,115.0,748.2242793079041,146.0,1712.8184388447182
1,trip_data,mta_tax,114.0,748.2242793079041,148.0,1712.8184388447182
1,trip_data,tip_amount,114.0,748.2242793079041,152.0,1712.8184388447182
1,trip_data,tolls_amount,115.0,748.2242793079041,149.0,1712.8184388447182
1,trip_data,improvement_surcharge,134.0,748.2242793079041,151.0,1712.8184388447182
1,trip_data,total_amount,114.0,748.2242793079041,150.0,1712.8184388447182
2,trip_data,VendorID,19.1,145.32830043808,150.0,1279.3662424585807
2,trip_data,tpep_pickup_datetime,1300.0,7227.038460821648,1200.0,1415.3826047152775
2,trip_data,tpep_dropoff_datetime,1370.0,7227.038460821648,1230.0,1415.3826047152775
2,trip_data,passenger_count,19.2,145.32830043808,148.0,1279.3662424585807
2,trip_data,trip_distance,115.0,748.2242793079041,147.0,1712.8184388447182
2,trip_data,RatecodeID,18.8,145.32830043808,148.0,1279.3662424585807
2,trip_data,store_and_fwd_flag,1060.0,5569.8027510685015,250.0,578.0792217653304
2,trip_data,PULocationID,19.9,145.32830043808,146.0,1279.3662424585807
2,trip_data,DOLocationID,20.5,145.32830043808,148.0,1279.3662424585807
2,trip_data,payment_type,20.3,145.32830043808,150.0,1279.3662424585807
2,trip_data,fare_amount,113.0,748.2242793079041,150.0,1712.8184388447182
2,trip_data,extra,112.0,748.2242793079041,149.0,1712.8184388447182
2,trip_data,mta_tax,113.0,748.2242793079041,148.0,1712.8184388447182
2,trip_data,tip_amount,113.0,748.2242793079041,149.0,1712.8184388447182
2,trip_data,tolls_amount,112.0,748.2242793079041,150.0,1712.8184388447182
2,trip_data,improvement_surcharge,114.0,748.2242793079041,157.0,1712.8184388447182
2,trip_data,total_amount,112.0,748.2242793079041,153.0,1712.8184388447182
3,trip_data,trip_distance,111.0,748.2242793079041,150.0,1712.8184388447182
3,trip_data,VendorID,18.8,145.32830043808,152.0,1279.3662424585807
3,trip_data,tpep_dropoff_datetime,1260.0,7227.038460821648,1220.0,1415.3826047152775
3,trip_data,total_amount,111.0,748.2242793079041,147.0,1712.8184388447182
3,trip_data,store_and_fwd_flag,981.0,5569.8027510685015,397.0,578.0792217653304
3,trip_data,PULocationID,19.1,145.32830043808,298.0,1279.3662424585807
3,trip_data,fare_amount,112.0,748.2242793079041,149.0,1712.8184388447182
3,trip_data,extra,116.0,748.2242793079041,148.0,1712.8184388447182
3,trip_data,improvement_surcharge,111.0,748.2242793079041,147.0,1712.8184388447182
3,trip_data,RatecodeID,18.6,145.32830043808,148.0,1279.3662424585807
3,trip_data,tpep_pickup_datetime,1250.0,7227.038460821648,1180.0,1415.3826047152775
3,trip_data,payment_type,19.1,145.32830043808,147.0,1279.3662424585807
3,trip_data,mta_tax,112.0,748.2242793079041,148.0,1712.8184388447182
3,trip_data,DOLocationID,19.1,145.32830043808,150.0,1279.3662424585807
3,trip_data,tolls_amount,112.0,748.2242793079041,299.0,1712.8184388447182
3,trip_data,tip_amount,112.0,748.2242793079041,150.0,1712.8184388447182
3,trip_data,passenger_count,19.2,145.32830043808,150.0,1279.3662424585807
4,trip_data,tpep_dropoff_datetime,25.5,227.997730154464,100.0,1279.2331675351552
4,trip_data,tpep_pickup_datetime,26.8,227.997730154464,99.7,1279.2331675351552
5,trip_data,tpep_dropoff_datetime,25.6,227.997730154464,99.1,1279.2331675351552
5,trip_data,tpep_pickup_datetime,25.8,227.997730154464,99.1,1279.2331675351552
5,trip_data,duration,111.0,748.2242793079041,149.0,1712.8184388447182
5,trip_data,trip_pickup_hour,10.3,73.087932166816,50.3,320.69536061464515
5,trip_data,trip_day,1170.0,6140.450626314859,279.0,866.393909654928
5,trip_data,trip_dropoff_hour,10.2,73.087932166816,32.8,320.69536061464515
6,trip_data,tpep_pickup_datetime,25.7,227.997730154464,158.0,1279.2331675351552
6,trip_data,tpep_dropoff_datetime,25.3,227.997730154464,102.0,1279.2331675351552
6,trip_data,passenger_count,19.9,145.32830043808,150.0,1279.3662424585807
6,trip_data,trip_distance,111.0,748.2242793079041,149.0,1712.8184388447182
6,trip_data,PULocationID,19.7,145.32830043808,147.0,1279.3662424585807
6,trip_data,DOLocationID,20.2,145.32830043808,156.0,1279.3662424585807
6,trip_data,payment_type,19.7,145.32830043808,151.0,1279.3662424585807
6,trip_data,fare_amount,111.0,748.2242793079041,149.0,1712.8184388447182
6,trip_data,extra,111.0,748.2242793079041,152.0,1712.8184388447182
6,trip_data,mta_tax,111.0,748.2242793079041,150.0,1712.8184388447182
6,trip_data,tip_amount,111.0,748.2242793079041,148.0,1712.8184388447182
6,trip_data,tolls_amount,111.0,748.2242793079041,151.0,1712.8184388447182
6,trip_data,improvement_surcharge,109.0,748.2242793079041,150.0,1712.8184388447182
6,trip_data,total_amount,110.0,748.2242793079041,151.0,1712.8184388447182
6,trip_data,duration,109.0,748.2242793079041,152.0,1712.8184388447182
6,trip_data,trip_pickup_hour,10.2,73.087932166816,37.7,320.69536061464515
6,trip_data,trip_dropoff_hour,9.96,73.087932166816,37.7,320.69536061464515
