ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,1242.4,gpu,1242.4,1242.4,gpu,1168.55,1242.4,gpu,1168.55,1242.4
gpu,1242.4,gpu,1242.4,1242.4,gpu,1168.55,1242.4,gpu,1168.55,1242.4
gpu,1242.4,gpu,1242.4,1242.4,gpu,1168.55,1242.4,gpu,1168.55,1242.4
gpu,1242.4,gpu,1242.4,1242.4,gpu,1168.55,1242.4,gpu,1168.55,1242.4
gpu,1242.4,gpu,1242.4,1242.4,gpu,1168.55,1242.4,gpu,1168.55,1242.4
gpu,1242.4,gpu,1242.4,1242.4,gpu,1168.55,1242.4,gpu,1168.55,1242.4
